Make,Colour,Odometer (KM),Doors,Price
BMW,Black,16974,5,"$22,400.00"
Toyota,Blue,23409,3,"$5,100.00"
Toyota,White,145433,4,"$5,700.00"
Nissan,White,33564,4,"$8,600.00"
Nissan,White,32884,4,"$11,600.00"
Honda,Blue,41963,4,"$6,100.00"
Toyota,White,66850,4,"$6,500.00"
Honda,Blue,40124,4,"$6,000.00"
BMW,Black,15602,5,"$21,600.00"
Honda,Red,89262,4,"$5,100.00"
Toyota,White,66023,4,"$8,100.00"
Honda,Red,86221,4,"$3,400.00"
Toyota,Green,90898,4,"$6,500.00"
Nissan,White,203864,4,"$4,800.00"
Honda,Red,80332,4,"$3,500.00"
BMW,Black,6490,5,"$20,400.00"
Toyota,Green,94264,4,"$4,900.00"
Honda,Blue,51158,4,"$8,600.00"
Toyota,Green,106781,4,"$5,200.00"
Honda,Red,97668,4,"$3,900.00"
Honda,Blue,51134,4,"$6,000.00"
Nissan,White,30266,4,"$8,600.00"
Toyota,White,158985,4,"$2,800.00"
Honda,Blue,63169,4,"$6,200.00"
Nissan,White,24347,4,"$8,900.00"
BMW,Black,1368,5,"$20,700.00"
Toyota,White,159161,4,"$2,000.00"
Nissan,White,206100,4,"$3,500.00"
Toyota,White,141942,4,"$3,200.00"
Honda,Red,79166,4,"$3,700.00"
Honda,Red,95811,4,"$6,600.00"
Toyota,White,61394,4,"$6,100.00"
Toyota,White,143599,4,"$3,200.00"
BMW,Black,5069,5,"$22,200.00"
Nissan,White,211933,4,"$1,800.00"
Toyota,Blue,37051,3,"$5,100.00"
Toyota,White,60627,4,"$5,300.00"
Nissan,White,30392,4,"$8,400.00"
Toyota,White,60555,4,"$7,000.00"
Toyota,Blue,32802,3,"$7,200.00"
Honda,Red,86332,4,"$7,000.00"
BMW,Black,11412,5,"$21,500.00"
Honda,Red,88915,4,"$6,100.00"
Toyota,White,142655,4,"$3,000.00"
Nissan,White,37387,4,"$8,500.00"
Toyota,Green,106372,4,"$3,600.00"
Nissan,White,33806,4,"$11,100.00"
Toyota,Green,97439,4,"$3,200.00"
Nissan,White,217636,4,"$1,600.00"
Nissan,White,24752,4,"$11,400.00"
Nissan,White,23185,4,"$8,000.00"
Toyota,Green,93156,4,"$5,000.00"
Toyota,White,69457,4,"$5,300.00"
Honda,Blue,36719,4,"$7,200.00"
Toyota,Blue,34202,3,"$6,400.00"
Toyota,Blue,33354,3,"$7,600.00"
Toyota,Green,102630,4,"$2,800.00"
Toyota,Green,97202,4,"$4,300.00"
Toyota,Green,98905,4,"$4,300.00"
Honda,Blue,57728,4,"$8,200.00"
Honda,Blue,51611,4,"$6,000.00"
Toyota,White,145718,4,"$4,300.00"
Toyota,Blue,22710,3,"$7,500.00"
Toyota,Blue,26846,3,"$9,000.00"
Honda,Blue,36693,4,"$6,500.00"
Toyota,White,151577,4,"$2,700.00"
Nissan,White,210724,4,"$4,900.00"
Nissan,White,204111,4,"$3,600.00"
BMW,Black,9708,5,"$22,700.00"
Toyota,White,157305,4,"$4,300.00"
Toyota,Green,98481,4,"$5,900.00"
Nissan,White,33785,4,"$8,100.00"
Nissan,White,27931,4,"$9,200.00"
Toyota,Green,97784,4,"$2,800.00"
Toyota,Blue,29757,3,"$8,200.00"
Honda,Blue,40974,4,"$9,000.00"
Honda,Red,96345,4,"$6,100.00"
Honda,Red,94347,4,"$5,100.00"
Toyota,White,156259,4,"$2,800.00"
Nissan,White,29606,4,"$10,300.00"
BMW,Black,3747,5,"$21,400.00"
Honda,Blue,37725,4,"$8,700.00"
Toyota,White,52695,4,"$7,300.00"
Toyota,White,65422,4,"$4,400.00"
BMW,Black,6437,5,"$22,500.00"
Toyota,White,146779,4,"$3,000.00"
Toyota,White,50391,4,"$5,400.00"
BMW,Black,15165,5,"$22,200.00"
Honda,Blue,48364,4,"$8,800.00"
Toyota,White,145935,4,"$3,700.00"
Honda,Red,81460,4,"$3,900.00"
Toyota,Blue,28733,3,"$5,800.00"
Honda,Red,97382,4,"$6,700.00"
Honda,Red,86291,4,"$4,900.00"
Toyota,White,153110,4,"$5,300.00"
Toyota,Blue,37814,3,"$8,000.00"
BMW,Black,20667,5,"$20,100.00"
BMW,Black,3633,5,"$23,900.00"
BMW,Black,13016,5,"$23,700.00"
Toyota,White,154082,4,"$2,800.00"
Toyota,Blue,41664,3,"$5,800.00"
Toyota,White,151008,4,"$3,500.00"
Honda,Blue,45460,4,"$7,400.00"
Nissan,White,26656,4,"$9,900.00"
Nissan,White,218043,4,"$5,000.00"
Toyota,Green,97323,4,"$4,600.00"
Toyota,White,63773,4,"$4,300.00"
Toyota,Green,106625,4,"$6,000.00"
Nissan,White,22102,4,"$9,500.00"
Toyota,White,56910,4,"$5,500.00"
Honda,Blue,48383,4,"$9,000.00"
Toyota,Blue,22755,3,"$8,400.00"
Toyota,Green,107081,4,"$5,600.00"
BMW,Black,17113,5,"$20,800.00"
BMW,Black,18426,5,"$20,300.00"
Honda,Red,97073,4,"$5,800.00"
Nissan,White,211850,4,"$3,400.00"
Toyota,Green,101596,4,"$4,500.00"
BMW,Black,19320,5,"$22,000.00"
Toyota,Green,104033,4,"$5,000.00"
Toyota,Green,96787,4,"$4,300.00"
Honda,Red,84273,4,"$3,300.00"
Toyota,Blue,24227,3,"$8,100.00"
BMW,Black,20805,5,"$22,800.00"
Nissan,White,22659,4,"$11,000.00"
Honda,Red,94097,4,"$6,300.00"
Honda,Blue,45612,4,"$8,100.00"
Toyota,White,69541,4,"$7,400.00"
Honda,Red,88716,4,"$6,700.00"
Toyota,White,60921,4,"$7,900.00"
Nissan,White,31389,4,"$10,800.00"
BMW,Black,17491,5,"$21,300.00"
Toyota,White,61252,4,"$7,700.00"
Honda,Blue,38391,4,"$9,400.00"
Toyota,Green,103144,4,"$4,600.00"
Nissan,White,25227,4,"$8,800.00"
Honda,Red,94056,4,"$6,100.00"
Toyota,White,60173,4,"$5,600.00"
Honda,Blue,62785,4,"$8,200.00"
Honda,Blue,45928,4,"$8,400.00"
Nissan,White,218802,4,"$4,000.00"
Toyota,White,61494,4,"$8,200.00"
Toyota,White,51306,4,"$4,700.00"
Toyota,White,56776,4,"$5,800.00"
Toyota,Green,98687,4,"$2,700.00"
BMW,Black,8705,5,"$20,200.00"
Nissan,White,208625,4,"$4,000.00"
Honda,Blue,48486,4,"$5,900.00"
Toyota,White,63545,4,"$7,000.00"
Toyota,Green,89876,4,"$3,300.00"
Nissan,White,23598,4,"$8,600.00"
Toyota,Blue,30543,3,"$7,000.00"
Toyota,White,157922,4,"$4,100.00"
Honda,Blue,48042,4,"$5,300.00"
BMW,Black,19416,5,"$20,800.00"
BMW,Black,14987,5,"$23,700.00"
Nissan,White,28185,4,"$9,900.00"
Toyota,Blue,40224,3,"$8,200.00"
Honda,Red,97864,4,"$3,100.00"
Nissan,White,214744,4,"$5,200.00"
Toyota,White,141679,4,"$5,500.00"
Toyota,White,67082,4,"$5,200.00"
Toyota,Blue,27286,3,"$6,600.00"
Toyota,White,154598,4,"$3,300.00"
Toyota,White,63877,4,"$7,000.00"
Honda,Blue,45592,4,"$5,100.00"
Toyota,White,145898,4,"$2,500.00"
Nissan,White,210487,4,"$3,400.00"
Nissan,White,35549,4,"$10,600.00"
Honda,Blue,53789,4,"$8,300.00"
Honda,Red,83690,4,"$4,900.00"
Nissan,White,26531,4,"$11,300.00"
BMW,Black,21073,5,"$20,700.00"
Toyota,White,50202,4,"$7,300.00"
Toyota,Blue,33996,3,"$6,400.00"
Honda,Red,90587,4,"$3,700.00"
Toyota,White,144432,4,"$2,500.00"
Honda,Blue,47065,4,"$8,200.00"
Toyota,White,58004,4,"$4,600.00"
BMW,Black,20494,5,"$21,600.00"
BMW,Black,8956,5,"$22,300.00"
Toyota,Green,89410,4,"$3,300.00"
Toyota,White,51930,4,"$5,200.00"
Nissan,White,214869,4,"$2,800.00"
Toyota,Blue,37636,3,"$6,800.00"
Honda,Blue,45037,4,"$6,400.00"
Toyota,White,151632,4,"$5,300.00"
Toyota,White,68895,4,"$5,300.00"
Toyota,White,65708,4,"$7,200.00"
Honda,Blue,52741,4,"$7,400.00"
Toyota,White,52811,4,"$5,800.00"
Toyota,Green,103456,4,"$6,100.00"
Nissan,White,28146,4,"$10,600.00"
Honda,Blue,46724,4,"$6,400.00"
Honda,Red,86237,4,"$4,300.00"
Honda,Blue,56149,4,"$5,600.00"
Honda,Blue,38609,4,"$8,300.00"
Nissan,White,204829,4,"$4,700.00"
Honda,Red,96126,4,"$5,700.00"
Toyota,Green,97893,4,"$4,600.00"
Toyota,White,159403,4,"$5,800.00"
Honda,Red,96242,4,"$3,100.00"
Nissan,White,208854,4,"$2,200.00"
Toyota,White,52385,4,"$7,000.00"
Toyota,White,61111,4,"$8,200.00"
Nissan,White,26336,4,"$10,900.00"
Toyota,White,141845,4,"$5,300.00"
